artist,genres
Pretty Lights,"glitch hop, jazztronica, livetronica"
Harris Cole,"chillhop, lo-fi beats"
Middle School,chillhop
Dream Easy Collective,No genres found
Feed Me,"brostep, complextro, edm, electro house, filthstep"
DJDS,la pop
Martin Garrix,"dutch edm, edm, pop, pop dance, progressive house"
BRONSON,vapor twitch
Super Duper,vapor soul
Liam Back,No genres found
RJD2,"electronica, instrumental hip hop, jazztronica"
Yppah,"ambient idm, downtempo fusion, substep"
Bonobo,"downtempo, electronica, indietronica, instrumental hip hop, jazztronica, nu jazz, trip hop"
Tourist,"chillwave, future garage, indie soul, indietronica, vapor soul"
Hippie Sabotage,"edm, electronic trap"
Ark Patrol,vapor twitch
Touch Sensitive,"aussietronica, nu disco"
INZO,No genres found
Louis The Child,"edm, electropop, indie poptimism, vapor soul, vapor twitch"
Lane 8,"gauze pop, melodic house, progressive house"
SEBASTIAN PAUL,No genres found
Wolfgang Gartner,"complextro, edm, electro house, house, progressive electro house"
Robotaki,"future bass, vapor twitch"
Glimlip,"focus beats, lo-fi beats"
Miike Snow,"alternative dance, electropop, indietronica, neo-synthpop, shimmer pop, swedish electropop, swedish indie pop, swedish synthpop"
Ladyhawke,"alternative dance, metropopolis, neo-synthpop"
The Hacker,"destroy techno, electroclash, french techno"
New Order,"alternative rock, dance rock, madchester, new romantic, new wave, permanent wave, post-punk, synthpop, uk post-punk"
Friendly Fires,"alternative dance, dance rock, dance-punk, electrofox, indietronica, neo-synthpop, new rave, nu disco"
Scuba,chill abstract hip hop
The Enemy,No genres found
White Lies,"alternative dance, dance-punk, indie rock, modern rock, new rave"
MK,"indietronica, metropopolis, nu disco, shimmer pop"
Protoje,"modern reggae, reggae"
Hot Chip,"alternative dance, dance rock, electronica, indie rock, indietronica, neo-synthpop, new rave"
Noah And The Whale,stomp and holler
TOY,"indietronica, metropopolis, nu disco, shimmer pop"
Sam And The Womp,balkan beats
The Black Keys,"alternative rock, blues rock, garage rock, indie rock, indietronica, modern blues rock, modern rock, punk blues, rock"
Fixers,oxford indie
Phoenix,"alternative dance, indie rock, modern rock, new rave, rock independant francais, shimmer pop"
Four Year Strong,"anthem emo, easycore, neon pop punk, new england emo, pop punk, screamo, worcester ma indie"
Electric Guest,"indietronica, la indie, shimmer pop"
The Duke Spirit,garage rock
The Maccabees,"british indie rock, indie rock, modern rock, scottish rock"
LCD Soundsystem,"alternative dance, alternative rock, art pop, dance rock, dance-punk, electronic rock, electronica, indie rock, indietronica, neo-synthpop, new rave"
Foster The People,"indietronica, modern alternative rock, modern rock, rock"
Bing Crosby,"adult standards, easy listening, lounge, swing"
Fenech-Soler,"electrofox, metropopolis, northamptonshire indie"
MONA,nigerian pop
Silversun Pickups,"alternative rock, indie rock, la indie, modern alternative rock, modern rock"
Whiney,liquid funk
Of Love and Lust - OLAL,No genres found
Ric Wilson,psychedelic hip hop
Carry the Day,No genres found
Greta Van Fleet,"modern blues rock, modern hard rock, rock"
London Elektricity,"drum and bass, liquid funk, uk dnb"
Metrik,"dancefloor dnb, drum and bass"
Maggie Rogers,indie pop
eugenio izzi,"lo-fi beats, lo-fi study"
Halsey,"electropop, etherpop, indie poptimism, pop"
SiR,"indietronica, la indie, modern alternative rock, modern rock, shimmer pop"
Kota the Friend,underground hip hop
Virtual Self,"electro house, future bass"
Wiz Khalifa,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap"
Gunna,No genres found
Playboi Carti,"atl hip hop, plugg, pluggnb, rage rap, rap"
KYLE,"deep underground hip hop, indie pop rap, meme rap, pop rap, viral trap"
AminÃ©,shaabi
Jack Harlow,"deep underground hip hop, hip hop, kentucky hip hop, pop rap, rap"
Lil Baby,"atl hip hop, atl trap, rap, trap"
Benjamin Martins,calming instrumental
21 Savage,"atl hip hop, hip hop, rap"
Knife Party,"australian dance, brostep, complextro, edm, electro house, moombahton"
CAZZETTE,"complextro, edm, electro house, pop dance, progressive electro house"
ARMNHMR,"melodic dubstep, pop edm"
SLAVES,No genres found
Tony! Toni! TonÃ©!,No genres found
A Tribe Called Quest,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop"
Nice & Smooth,"bronx hip hop, hardcore hip hop, hip hop"
DJ Quik,"g funk, popping, west coast rap"
Scarface,No genres found
Redman,No genres found
Warren G,"g funk, gangster rap, hardcore hip hop, hip hop, west coast rap"
EPMD,"east coast hip hop, golden age hip hop, hip hop, old school hip hop"
SLANDER,dubstep
ACOT,meme rap
Kurt Cobain,"acoustic rock, grunge"
Capital Cities,"metropopolis, modern rock"
cupcakKe,"chicago rap, trap queen"
Elon â€œEDMâ€ Musk,No genres found
GROUPLOVE,"indie rock, la indie, modern alternative rock, modern rock, pov: indie"
Spotify,No genres found
Champagne Drip,"brostep, glitch hop"
Dion Timmer,"brostep, deathstep, dubstep, gaming dubstep"
KRANE,"electronic trap, future bass, traprun, vapor twitch"
Getter,"brostep, dark trap, filthstep"
Jaron,"future bass, hyperpop"
Rednex,"eurodance, europop, swedish country"
King Los,battle rap
Money Man,"memphis hip hop, southern hip hop, trap"
DDG,No genres found
Polo G,"chicago rap, rap"
Rod Wave,florida rap
Lil Eazzyy,chicago rap
DJ Khaled,"hip hop, miami hip hop, pop rap, rap"
Saweetie,"cali rap, trap queen"
Trippie Redd,"melodic rap, rap, trap"
Tyla Yaweh,"cali rap, melodic rap"
Lil Tecca,"melodic rap, pluggnb, rap"
T.I.,No genres found
Yung Bleu,"alabama rap, trap"
Cordae,"hip hop, pop rap, rap, trap, underground hip hop"
Latto,trap queen
Rapsody,"alternative r&b, north carolina hip hop, trap queen"
Megan Thee Stallion,"houston rap, pop, rap, trap queen"
BRS Kash,viral rap
CHASE B,trap
K Shiday,No genres found
Benny The Butcher,"alternative hip hop, boom bap, buffalo hip hop, hip hop, upstate ny rap"
Sada Baby,"detroit trap, scam rap"
City Girls,"scam rap, trap queen"
Idealism,lo-fi beats
Laurence Guy,"float house, jazz house"
Da Vosk Docta,wave
Rampa,deep east coast hip hop
Sofia Kourtesis,experimental house
Herr Lang,No genres found
Anzo,complextro
DJ Seinfeld,lo-fi house
Fantom '87,"chillsynth, spacewave, synthwave"
Kiasmos,"electronica, icelandic electronic"
Jesper Ryom,indie soul
BICEP,"ambient house, electronica"
Aemone,jazz house
paleboi,lo-fi house
Guy Gerber,"deep disco house, israeli techno, microhouse, minimal tech house, minimal techno, organic electronic, organic house"
Mall Grab,"aussietronica, australian house, lo-fi house"
Mark Reeve,"deep minimal techno, frankfurt electronic"
Sun Glitters,"ambient idm, chillwave, indie dream pop, luxembourgian indie"
ARTBAT,ukrainian electronic
Gavinco,jazz house
Ae:ther,deep techno
Voyage,"chillsynth, spacewave"
Tycho,"chillwave, downtempo, electronica, indietronica, intelligent dance music"
Com Truise,"chillwave, indietronica, vaporwave"
Maceo Plex,"deep disco house, house, latin tech house, melodic techno, microhouse, minimal tech house, minimal techno"
Cut Snake,bass house
UMEK,"dark techno, raw techno, slovenian electronic"
Ava Cerasoli,No genres found
369,No genres found
Lucas Delphy,No genres found
Jacob Yoffee,No genres found
Amaranth Cove,"background music, chill out"
Eline Moss,background music
Smino,alternative r&b
Joyhauser,"belgian techno, dark techno, raw techno"
Paul Lipson,video game music
Nathan Lanier,No genres found
Rusko,"brostep, classic dubstep, filthstep"
William Joseph & Lindsey Stirling,pop violin
Black Nights Of The North Star,wu fam
The Subways,No genres found
Lil Durk,"chicago drill, chicago rap, drill, hip hop, pop rap, rap, trap"
Anderson .Paak,"escape room, hip hop, indie soul, neo soul"
Johan Lenox,No genres found
Casanova,"brooklyn drill, nyc rap"
ILLENIUM,"edm, melodic dubstep, pop dance"
Kevin McMullan,No genres found
John Legend,"neo soul, pop, pop soul, urban contemporary"
The Glitch Mob,"complextro, glitch, glitch hop, indietronica"
i_o,quebec indie
Alan Silvestri,"orchestral soundtrack, soundtrack"
Destiny's Child,No genres found
Ariana Grande,pop
Taylor Swift,pop
MARINA,No genres found
Timbaland,"dance pop, pop, pop rap"
Stevie Nicks,heartland rock
G-Eazy,"indie pop rap, oakland hip hop, pop rap, rap"
BeyoncÃ©,No genres found
MOGUAI,"dutch house, edm, electro house, german techno, progressive electro house, progressive house"
NOTD,"alt z, electropop, pop dance, pop edm"
Lauv,pop
Lizzo,"escape room, minnesota hip hop, pop, trap queen"
Mike WiLL Made-It,"atl hip hop, rap, southern hip hop, trap"
ATTLAS,canadian electronic
Black Tiger Sex Machine,"brostep, canadian electronic, dubstep, electro trash"
Timbo King,wu fam
Outkast,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop"
Free Nationals,"alternative r&b, indie soul"
DJ Drama,"dirty south rap, philly rap, southern hip hop, trap"
Mood J,No genres found
Avril Lavigne,"canadian pop, candy pop, dance pop, pop"
Bromheads Jacket,sheffield indie
Depeche Mode,"dance rock, new romantic, new wave, permanent wave, rock, synthpop"
Army Of Me,No genres found
Maxeen,No genres found
Make Good Your Escape,No genres found
N.E.R.D,"hip hop, virginia hip hop"
