artist,genres
Dr. Dog,"chamber pop, indie rock, modern folk rock, philly indie, pov: indie, seattle indie, stomp and holler"
Joey Purp,"chicago rap, indie hip hop, underground hip hop"
Jayaire Woods,chicago rap
Sad Night Dynamite,No genres found
Wavedash,brostep
Mystery Skulls,solipsynthm
Rogue,"chillstep, complextro, filthstep, gaming edm, melodic dubstep"
Kubbi,"bitpop, chiptune"
Vanic,"bass trap, future bass, pop edm"
Bastille,No genres found
nanobii,"gaming edm, kawaii future bass"
Eden Project,No genres found
Gunship,popwave
Crywolf,"chillstep, melodic dubstep"
Brevin Kim,boston hip hop
RetcH,"new jersey rap, underground hip hop"
Myke Bogan,portland hip hop
Flying Lotus,"afrofuturism, alternative hip hop, electronica, escape room, experimental hip hop, glitch, glitch hop, indietronica, instrumental hip hop, intelligent dance music, jazztronica, psychedelic hip hop, wonky"
William Crooks,No genres found
Zubin,"cloud rap, emo rap"
Brian Fresco,indie hip hop
Maeta,"alternative r&b, indie r&b"
redveil,"chill abstract hip hop, indie hip hop"
foxwedding,wave
Caravan Palace,"electro swing, nu jazz"
Ivan Gough,progressive electro house
Alexandra Stan,romanian pop
Yeah Yeah Yeahs,"alternative dance, alternative rock, art pop, dance-punk, garage rock, indie rock, modern rock, neo-synthpop, new rave"
TheFatRat,speedrun
Pouya,"cloud rap, dark trap, miami hip hop, underground hip hop"
Verzache,sad lo-fi
SHSTR,No genres found
Marcioz,No genres found
Rickyxsan,"brostep, electronic trap"
Mont Duamel,No genres found
TRAILS,traprun
Win and Woo,pop edm
Blanke,"dubstep, melodic dubstep"
MEMBA,"indian edm, traprun, vapor twitch"
Max Richter,"compositional ambient, post-minimalism"
Deante' Hitchcock,"atl hip hop, underground hip hop"
Grace Grundy,"channel pop, viral pop"
a-ha,"alt z, pov: indie"
Kwengface,"uk drill, uk hip hop"
TWIX,No genres found
Twix,No genres found
Mr FijiWiji,"chillstep, complextro, gaming edm"
Metro Boomin,rap
Teejayx6,"detroit hip hop, scam rap"
Alec Benjamin,"alt z, pop, pov: indie"
Kill Paris,"chillstep, complextro, electro house, filthstep, future bass, melodic dubstep, vapor twitch"
Earl Sweatshirt,"alternative hip hop, drumless hip hop, experimental hip hop, hip hop, rap, underground hip hop"
Duke Deuce,memphis hip hop
Young Dolph,"memphis hip hop, rap, southern hip hop, tennessee hip hop, trap"
ODIE,No genres found
Rella,No genres found
ANGELZ,bass house
SAINt JHN,"melodic rap, slap house"
Palaye Royale,"modern alternative rock, vegas indie"
soupandreas,gaming edm
Athena,No genres found
Klaypex,"complextro, filthstep"
Puppet,"future bass, gaming edm"
Karma Fields,"canadian electronic, complextro, gaming edm"
Fokushi,No genres found
Nitro Fun,"gaming edm, speedrun"
Foans,hardvapour
Vegyn,experimental hip hop
Don Toliver,rap
Natia,No genres found
Ship Wrek,"bass house, stutter house, tech house"
Kainalu,wisconsin indie
Former Hero,future bass
Chris Patrick,"indie hip hop, new jersey underground rap"
Lackhoney,No genres found
Danny L Harle,"escape room, hyperpop, proto-hyperpop"
MineSweepa,"brostep, filthstep, gaming dubstep, melodic dubstep"
Berhana,"alternative r&b, indie r&b"
Xavier Wulf,"cloud rap, dark trap, memphis hip hop, underground hip hop"
Issa Gold,No genres found
Khary,"indie hip hop, lo-fi rap, rhode island rap"
Kill Them With Colour,No genres found
Krysh,No genres found
Lil Cobaine,No genres found
Ryan Librada,No genres found
Rae Khalil,"indie r&b, oc indie"
AG Club,indie hip hop
MIKE DEAN,No genres found
Luchii,west australian hip hop
Leotrix,"brostep, dubstep, gaming dubstep"
Soudiere,"phonk, wave"
Moody Good,"dubstep, electronic trap, filthstep"
tiedye ky,downtempo bass
Truvian Grey,No genres found
Bad Snacks,downtempo bass
Robb Bank$,"cloud rap, dark trap, miami hip hop, underground hip hop"
Klasey Jones,wave
tip/toe,No genres found
MILKBLOOD,No genres found
Eighty4 Fly,seattle hip hop
Troy,"bass trap, electronic trap"
MISOGI,"cloud rap, vapor twitch, wave"
WHITE KATANA,"drift phonk, traprun, wave"
DijahSB,indie hip hop
Flynn Hendry,No genres found
emune,"lo-fi beats, phonk"
Necroez,phonk
Kastorbeats,No genres found
Caskey,"deep underground hip hop, florida rap"
Cardo,No genres found
Injury Reserve,"alternative hip hop, conscious hip hop, escape room, indie hip hop, underground hip hop"
Vincent Augustus,No genres found
your best friend jippy,No genres found
NOEL,"banda, corrido, corridos alternativos, musica mexicana, norteno, sierreno"
Bobby Rock,dutch edm
Rob Curly,deep underground hip hop
Slushii,"brostep, edm, future bass, pop dance"
What So Not,"aussietronica, brostep, edm, electro house, electronic trap, escape room, vapor twitch"
Boobie Lootaveli,dark trap
Lord Lu C N,No genres found
Zavalaa,No genres found
AM,No genres found
L's Harlem,No genres found
Harlem Spartans,"uk drill, uk hip hop"
ZCBeats,No genres found
Merzbow,"drone, experimental, experimental rock, industrial, japanoise, noise, noise rock, power electronics, sound art"
Aaron Dilloway,"drone, noise, tape music"
Wolf Eyes,"noise, noise rock, power electronics"
Masonna,"japanoise, noise, power electronics"
Magnificence,"big room, progressive electro house, sky room"
Wess,No genres found
Deniz Koyu,"dutch house, edm, electro house, german techno, pop dance, progressive electro house, progressive house, sky room"
Corey James,"progressive electro house, sky room"
Disco Fries,"pop edm, progressive electro house, sky room"
Nicky Romero,"big room, dutch edm, dutch house, edm, electro house, pop dance, progressive electro house"
Arno Cost,"electro house, progressive electro house"
USAI,japanese vtuber
Tom Tyger,sky room
Afu-Ra,east coast hip hop
Coldplay,"permanent wave, pop"
Lil B,"cloud rap, underground hip hop"
Lil' Kim,"dance pop, east coast hip hop, hip hop, hip pop, pop rap, r&b, rap, southern hip hop, trap queen, urban contemporary"
DC The Don,"melodic rap, rage rap"
HXLLYWOOD,viral rap
Aloe Blacc,"pop soul, r&b"
A Boogie Wit da Hoodie,"melodic rap, rap, trap"
Chuck Sutton,future bass
saÃ¼d,No genres found
GOON DES GARCONS*,No genres found
Eastghost,wave
shamana,phonk
Alex Wiley,"chicago rap, underground hip hop"
Blvck Svm,indie hip hop
Sap,No genres found
Thane,No genres found
Ryan Little,No genres found
RIZ LA VIE,bedroom soul
BAYNK,"indie electropop, vapor soul"
VALENTINE,No genres found
Dark Time Sunshine,"abstract hip hop, seattle hip hop"
Chip Tha Ripper,ohio hip hop
Bilmuri,No genres found
Psymun,"experimental hip hop, minnesota hip hop"
Blaccmass,No genres found
DECAP,vapor twitch
High Klassified,"canadian hip hop, rap montrealais, substep, vapor twitch"
RÃœFÃœS DU SOL,No genres found
Disclosure,"edm, house, indietronica, uk dance"
Polar Youth,"belgian edm, vapor twitch"
Tokyo Machine,japanese dance pop
DJ Fluke,No genres found
ryscu,No genres found
Duke & Jones,uk dance
Gryffin,"edm, pop dance"
Krewella,"edm, electra, electro house, pop dance"
Yellow Claw,"dutch house, edm, electro house, pop dance"
Seeb,pop dance
Alesso,No genres found
Minus the Bear,"indie rock, math pop, post-hardcore, seattle indie"
Before Today,No genres found
Dreamhouse,"milwaukee indie, pop emo"
Shangrila,No genres found
Retirement Party,"5th wave emo, alternative emo, bubblegrunge, diy emo, midwest emo"
The White Noise,No genres found
Shin Guard,"diy emo, pittsburgh indie, screamo, skramz"
Coast To Coast,"anthem emo, easycore, uk pop punk"
Zion & Lennox,"reggaeton, urbano latino"
RobGz,trap latino
Weighbridge,No genres found
Trade Wind,melodic hardcore
Hector Gachan,bedroom pop
Puma Blue,"bedroom pop, uk contemporary r&b"
Steve Lacy,afrofuturism
Duval Timothy,multidisciplinary
La Dispute,"alternative emo, emo, grand rapids indie"
TiÃ«sto,No genres found
Avish,"contemporary jazz, israeli jazz, jazz, jazz double bass, jazz trumpet"
Connan Mockasin,"experimental pop, kiwi rock, neo-psychedelic"
Skinshape,psychedelic soul
MED,"future bass, vapor twitch"
LNDN DRGS,drumless hip hop
Casey Veggies,underground hip hop
Green Piccolo,phonk
Blackway,nyc rap
DJ Khalil,No genres found
Beau Young Prince,dmv rap
Duckwrth,alternative r&b
Endless Heights,"aussie emo, australian post-hardcore"
Makari,"progressive post-hardcore, swancore"
Rarity,"alternative emo, anthem emo, canadian pop punk, canadian post-hardcore, pop punk"
Until I Wake,"american metalcore, metalcore"
Citizen,"alternative emo, dreamo, emo, pop punk"
Reliance,No genres found
Holding Absence,"metalcore, uk pop punk"
No Dice,columbus ohio indie
Hurtwave,modern alternative pop
Gatherers,"dreamo, progressive post-hardcore"
Windwaker,"australian post-hardcore, metalcore"
Parkwood,melodic hardcore
Finger Eleven,"alternative metal, canadian rock, funk metal, nu metal, post-grunge"
Sweet Trip,"dream pop, glitchbreak, hyper-rock, shoegaze"
Static Dress,No genres found
Movements,"alternative emo, dreamo, emo, midwest emo, pop punk, socal pop punk"
Parting Gift,manchester indie
Hundredth,"dreamo, grungegaze, melodic hardcore, screamocore"
Capstan,"alternative emo, anthem emo, easycore, pop punk"
Skid Row,"album rock, glam metal, hard rock, metal, rock"
Hindsight,"australian post-hardcore, modern melodic hardcore"
Autopilot Off,No genres found
Red Vox,No genres found
Being As An Ocean,"melodic hardcore, metalcore"
Acceptance,"christian alternative rock, neon pop punk, pop emo"
Valiant Hearts,No genres found
Arm's Length,No genres found
AC/DC,"australian rock, hard rock, rock"
Loose Ends,danish post-punk
Al B. Sure!,"contemporary r&b, new jack swing, quiet storm, r&b"
Eddie Kendricks,"classic soul, disco, funk, motown, p funk, post-disco, quiet storm, soul"
Shalamar,"classic soul, disco, funk, motown, new jack swing, post-disco, quiet storm, soul, urban contemporary"
Sybyr,"cloud rap, dark trap"
Tchami,"bass house, brostep, edm, electro house, future house, house, pop dance, progressive electro house, progressive house"
Redhands,phonk
WebsterX,milwaukee hip hop
Ay Wing,No genres found
Thee Unemployed,No genres found
Allan Kingdom,underground hip hop
Ace of Spades,No genres found
Shaboozey,"modern country pop, pop rap"
MFnMelo,"indie hip hop, jazz rap"
The Rare Occasions,la indie
Mike Dimes,southern hip hop
NY Demons,No genres found
MoneyyMitcch,No genres found
Yung Bae,future funk
Nardo Wick,"florida drill, florida rap, southern hip hop"
SwuM,"chillhop, lo-fi beats"
Village,"neurostep, vapor twitch"
Lou From Paradise,nyc rap
Kenny Mason,"atl hip hop, indie hip hop"
Ngahere Wafer,emo rap
Michael Christmas,boston hip hop
ILOVEMAKONNEN,"atl hip hop, lgbtq+ hip hop, trap"
TOKiMONSTA,No genres found
Smileyface,No genres found
Headphone Activist,No genres found
Pat Ron,No genres found
Meltycanon,lo-fi rap
Wax,"bass house, electro house, tech house"
Disposable Impressions,No genres found
capshun,"future bass, vapor twitch"
Lunar,No genres found
TLO,No genres found
Kamandi,"nz electronic, vapor twitch, wave"
Major Lazer,"dance pop, edm, electro house, moombahton, pop, pop dance"
Tinlicker,melodic house
Oliver Dollar,fidget house
Hardwell,"big room, dutch house, edm, electro house, pop dance, progressive electro house, progressive house"
Rfnmayne,No genres found
Cypress Hill,"chicano rap, gangster rap, hip hop, rap rock, west coast rap"
Cochise,"plugg, pluggnb, rage rap"
Young Nudy,"pluggnb, rap, southern hip hop, trap"
FelixThe1st,No genres found
99 Percent,No genres found
Apollo Rai,nyc rap
Amaarae,"afro r&b, afrobeats, alternative r&b, ghanaian alternative, ghanaian pop"
Masked Wolf,australian hip hop
CKay,"afro r&b, afrobeats"
Tion Wayne,"london rap, uk hip hop"
Curtis Waters,No genres found
Autumn!,"emoplugg, glitchcore, plugg, pluggnb"
Tinashe,"alternative r&b, dance pop, metropopolis, pop, r&b"
Leven Kali,alternative r&b
DJ Frass,"afroswing, dancehall, riddim"
Dax,No genres found
Bruno Mars,"dance pop, pop"
Geto Boys,"conscious hip hop, dirty south rap, g funk, gangster rap, golden age hip hop, hardcore hip hop, hip hop, old school hip hop"
Shini!,"cloud rap, emo rap, scream rap"
xJK.,lo-fi house
Strick,atl trap
Mohombi,No genres found
Shakewell,dark trap
Daniel Caesar,canadian contemporary r&b
JhenÃ© Aiko,No genres found
PARTYNEXTDOOR,"r&b, rap, urban contemporary"
Lil Boom,meme rap
Dbangz,meme rap
Lilly Ahlberg,scandipop
SIDEPIECE,"bass house, edm, house, tech house"
Tita Lau,No genres found
Showtek,"classic hardstyle, dutch house, edm, electro house, euphoric hardstyle, melbourne bounce, pop dance, progressive electro house"
AFROJACK,No genres found
Armin van Buuren,"dutch house, dutch trance, edm, pop dance, progressive house, trance"
Westside Gunn,"alternative hip hop, boom bap, buffalo hip hop, drumless hip hop, hip hop, upstate ny rap"
Dirtyphonics,"complextro, electro house, filthstep, french dnb, gaming dubstep"
Borgore,"brostep, classic dubstep, dubstep, edm, electro house"
J Balvin,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
Beartooth,"melodic metalcore, metalcore, pop punk"
Twenty One Pilots,"modern rock, pop, pov: indie, rock"
Atreyu,"alternative metal, melodic metalcore, metalcore, nu metal, post-grunge, screamo"
Escape the Fate,"alternative metal, metalcore, neon pop punk, pixie, pop punk, post-grunge, screamo"
Zero 9:36,No genres found
Quadeca,hyper-rock
2KBABY,kentucky hip hop
F.O.O.L,"complextro, dark clubbing, electro trash"
Miley Cyrus,pop
Pitbull,"dance pop, miami hip hop, pop"
Sam Smith,"pop, uk pop"
Conan Gray,"bedroom pop, pop, pov: indie"
Dua Lipa,"dance pop, pop, uk pop"
will.i.am,"dance pop, pop"
One Direction,"boy band, pop, post-teen pop, talent show"
Flo Rida,"dance pop, miami hip hop, pop, pop rap"
Icona Pop,"candy pop, dance pop, electropop, metropopolis, swedish electropop, swedish synthpop"
ZAYN,"pop, uk pop"
Troye Sivan,"australian pop, pop, viral pop"
Famous Dex,"chicago rap, drill, rap, trap"
Young Thug,"atl hip hop, atl trap, gangster rap, hip hop, melodic rap, rap, trap"
Lil Yachty,"atl hip hop, melodic rap, rap, trap"
Why Don't We,"boy band, pop"
Olivia O'Brien,"alt z, pop"
NAV,"alternative hip hop, chill abstract hip hop, drumless hip hop, jazz rap"
JACKBOYS,pop rap
Lil Skies,melodic rap
The Kid LAROI,australian hip hop
REASON,"indie hip hop, underground hip hop"
YNW Melly,"melodic rap, rap"
24kGoldn,No genres found
Lil Gnar,"atl hip hop, melodic rap"
Bingo Players,"big room, dutch house, edm, electro house, melbourne bounce, pop dance, progressive electro house, progressive house"
Sebastian Ingrosso,"dutch house, edm, electro house, pop dance, progressive electro house, progressive house"
Michael Salvatori,video game music
Excision,"brostep, canadian electronic, filthstep"
longlost,No genres found
Cal Scruby,"deep underground hip hop, indie pop rap, ohio hip hop"
Casilofi,lo-fi beats
Chris Lake,"bass house, edm, electro house, house, melbourne bounce, pop dance, tech house, uk dance"
Damian Lemar Hudson,No genres found
Hundaes,future bass
Party Favor,"brostep, edm, electro house, electronic trap"
Club cheval,"destroy techno, new french touch"
Tisoki,"brostep, dubstep, gaming dubstep"
QuESt,No genres found
Chasinbens,No genres found
The Kendrick,No genres found
Florian Picasso,"dutch house, edm, electro house, pop dance, pop edm, progressive electro house, progressive house, sky room"
Thomas Gold,"big room, dutch house, edm, electro house, german techno, pop dance, progressive electro house, progressive house"
Lilcockpump,meme rap
Tony Ferrari,la pop
Domo Genesis,"alternative hip hop, underground hip hop"
Yuna,malaysian pop
Huncho Jack,"melodic rap, trap"
MadeinTYO,"atl hip hop, melodic rap, trap"
Curtis Williams,underground hip hop
Dan Black,uk alternative pop
DJ Rell,No genres found
6LACK,"atl hip hop, melodic rap, r&b, rap, trap"
cln,"indietronica, metropopolis, nu disco, shimmer pop"
Michael Veli,No genres found
Garrett Merk,No genres found
FATE,No genres found
Brendan Rush,No genres found
Kidswaste,"indie electropop, vapor soul"
R3X,No genres found
Kevin Kiner,soundtrack
John Powell,"british soundtrack, orchestral soundtrack, soundtrack"
Michael Giacchino,"orchestral soundtrack, soundtrack"
blackbear,"alt z, pop"
Gipsy Kings,"flamenco, rumba, world"
DJ Huncho,No genres found
Kasher Quon,"detroit hip hop, detroit trap, scam rap"
Band Gang Lonnie Bands,"detroit trap, scam rap"
Jaxxon D. Silva,"cloud rap, emo rap"
AMAI,psychedelic hip hop
Sam Silver,No genres found
Oscar the King,No genres found
Young Pink,indie hip hop
Night Grind,greek drill
o k h o,"classic city pop, kayokyoku"
Danny Towers,No genres found
Kelte,"classic hardstyle, euphoric hardstyle, rawstyle"
Dj Smokey,"cloud rap, phonk"
Son Kuma,No genres found
Johnny Oz,florida rap
heffy,"zoomergaze, zxc"
IIIDAZE,No genres found
Offset,No genres found
STUCA,"dubstep, gaming dubstep"
Busu,No genres found
itssvd,"lo-fi chill, sad lo-fi"
Sergio Valentino,No genres found
Olivia Rodrigo,pop
Young Stoner Life,pop rap
Kazzer,rap rock
Eve 6,"alternative metal, pop rock, post-grunge"
Nonpoint,"alternative metal, industrial metal, latin metal, miami metal, nu metal, rap metal"
Astral Jones,No genres found
Melo Makes Music,No genres found
UnoTheActivist,"melodic rap, plugg, rage rap"
Dilip,phonk
i.F.,"alt z, pov: indie"
Killer Dash,No genres found
LOTTO,No genres found
ZOID LAND,sad lo-fi
ill.gates,glitch hop
Apollon de Moura,No genres found
Netuh,No genres found
Nedarb,cloud rap
Amir Obe,trap soul
drip-133,cloud rap
Kacey Johansing,alternative americana
Alex Newell,"indie poptimism, strut"
LoneMoon,experimental hip hop
HWLS,vapor twitch
M!NT ,downtempo bass
[z6]jimmy.,No genres found
Deniro Farrar,"north carolina hip hop, underground hip hop"
Siimbiie Lakew,jazz rap
Donte Thomas,portland hip hop
Kent Loon,No genres found
Revelries,dutch edm
Nite Jewel,"art pop, chillwave"
Age of Consent,No genres found
Jack Johnson,neo mellow
The Neighbourhood,"modern alternative rock, modern rock, pop"
MARAUDA,"brostep, deathstep, dubstep, tearout"
Flowervillain,experimental hip hop
Jerry Folk,"vapor soul, vapor twitch"
Tek Genesis,experimental bass
Chetta,"cloud rap, dark trap"
Backwhen,"phonk, wave"
RONEN,"cloud rap, emo rap"
Spark Master Tape,No genres found
Chrome Sparks,"chillwave, glitch hop, indietronica, shimmer psych, vapor twitch, wonky"
Tedy Andreas,houston rap
NxxxxxS,"phonk, trap beats, vaporwave"
Yameii Online,"glitchcore, hyperpop"
Ark Woods,No genres found
Matt Maeson,pov: indie
"quickly, quickly","chillhop, lo-fi beats, portland hip hop"
Erick the Architect,underground hip hop
Mr. Carmack,"electronic trap, vapor twitch"
JUICEBâ˜®X,No genres found
slowthai,"uk alternative hip hop, uk hip hop"
IshDARR,"canadian hip hop, milwaukee hip hop, underground hip hop"
Culprate,filthstep
Stephen Smith,No genres found
TOPAZ,No genres found
Thriftworks,glitch hop
Player Dave,No genres found
Ammi Boyz,No genres found
tobi lou,"chicago rap, indie hip hop, indie r&b"
Masego,"alternative r&b, indie soul"
J.K. The Reaper,"dark trap, north carolina hip hop, underground hip hop"
Johnny Yukon,trap soul
Da$H,"pop rock, post-grunge"
Reaper,No genres found
Sabrina Claudio,"alternative r&b, r&b"
Old Man Saxon,cali rap
Baauer,"electro house, electronic trap"
OddKidOut,No genres found
JKER,No genres found
Kill Bill: The Rapper,lo-fi rap
Minnesota,"electronic trap, glitch hop, vapor twitch"
Pro Logic,No genres found
Greyhat,vapor twitch
mike.,"indie pop rap, rhode island rap"
Ace DaGoatShaman,No genres found
Ramzoid,"future bass, gaming edm"
TheHashClique,No genres found
weird inside,"chillhop, vapor twitch"
Sam Gellaitry,"future bass, scottish electronic, vapor twitch"
Kevin George,trap soul
Kudasaibeats,lo-fi beats
G Jones,"brostep, electronic trap, glitch hop, vapor twitch"
Daktyl,vapor twitch
Terrell Hines,modern alternative pop
On Planets,future bass
Whereisalex,"future bass, vapor twitch"
Saosin,"neon pop punk, pop punk, post-hardcore, screamo"
Seether,"alternative metal, nu metal, post-grunge, south african rock"
KAS:ST,french techno
Ghostface Killah,"east coast hip hop, hardcore hip hop"
King Princess,"alt z, indie pop, nyc pop"
AZARI,canadian house
Internet Money,"pop rap, trap"
Harry Styles,pop
Jafet Meza,No genres found
Stephen Rippy,video game music
Too $hort,"cali rap, gangster rap, golden age hip hop, hyphy, oakland hip hop, west coast rap"
The Iceland Symphony Orchestra,No genres found
Brand New,"emo, pop punk, post-hardcore, screamo"
Jasiah,"dark trap, ohio hip hop"
Travis Scott,"rap, slap house"
MC Virgins,meme rap
SZA,"pop, r&b, rap"
Alice In Chains,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock"
NLE Choppa,"memphis hip hop, rap"
Just A Gent,"aussietronica, electro house, electronic trap, future bass, vapor twitch"
Manila Killa,"future bass, pop edm, vapor twitch"
Kupla,"anime lo-fi, lo-fi beats"
Statik Selektah,"alternative hip hop, boston hip hop"
grandson,"modern alternative rock, modern rock, pov: indie, rock"
YUNGBLUD,"british indie rock, modern rock, pov: indie, rock"
KennyHoopla,pop punk
Royal Blood,"brighton indie, garage rock, modern alternative rock, modern blues rock, modern hard rock, modern rock, rock"
Ayron Jones,seattle indie
Sullivan King,dubstep
The Dangerous Summer,"anthem emo, neon pop punk, pop emo, pop punk"
You Me At Six,"modern rock, neon pop punk, pop emo, pop punk"
Des Rocs,"modern alternative rock, rebel blues"
Foo Fighters,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock"
System Of A Down,"alternative metal, nu metal, rap metal, rock"
Bring Me The Horizon,"melodic metalcore, metalcore, modern rock, rock, uk metalcore"
LUNA AURA,No genres found
The Pretty Reckless,"alternative metal, candy pop"
The Hunna,"british alternative rock, english indie rock, modern alternative rock"
All Time Low,"modern rock, neon pop punk, pop punk"
Deftones,"alternative metal, nu metal, rap metal, rock, sacramento indie"
The Lost Project,"san antonio indie, texas punk"
Lil Peep,"cloud rap, emo rap, lgbtq+ hip hop"
Mat Zo,"complextro, edm, electro house, progressive house"
Fleetwood Mac,"album rock, classic rock, rock, soft rock, yacht rock"
Rezz,No genres found
Gordy Haab,video game music
Ludwig GÃ¶ransson,No genres found
Guns N' Roses,"glam metal, hard rock, rock"
Killswitch Engage,"alternative metal, boston metal, melodic metalcore, metalcore, nu metal, post-grunge"
EARTHGANG,"atl hip hop, indie hip hop, psychedelic hip hop, rap, underground hip hop"
Brenk Sinatra,jazz boom bap
Bidlo,No genres found
na$karmoney,No genres found
Pimpyz,No genres found
mrsickaz,philly drill
Wali Da Great,atl hip hop
Spectrum,classic city pop
The Furthermores,No genres found
Alvaro Soler,latin pop
Panjabi MC,"bhangra, classic bhangra, desi hip hop"
The Little 'uns,"children's music, nursery"
Pink Guy,"comedy rap, meme rap"
Bazanji,"deep underground hip hop, indie pop rap"
Jesse McCartney,"dance pop, pop, post-teen pop"
A-Wall,bedroom pop
Khantrast,anime rap
Billy Marchiafava,meme rap
Shotgun Willy,meme rap
Tiny Meat Gang,meme rap
Jason Aldean,"contemporary country, country, country road, modern country rock"
Cody Jinks,"classic texas country, modern southern rock, outlaw country"
Trey Lewis,modern country pop
A Lost People,No genres found
Bad Meets Evil,detroit hip hop
mol$,"belarusian indie, russian post-punk, sovietwave"
iamjakehill,"sad lo-fi, sad rap"
Culture Jam,No genres found
Thouxanbanfauni,"atl hip hop, cloud rap, melodic rap, plugg"
Yung Bans,"cloud rap, plugg, trap, underground hip hop"
D. Savage,plugg
A$AP ANT,"baltimore hip hop, drill, underground hip hop"
Jay Critch,"nyc rap, trap"
Almighty Jay,trap
Blueface,No genres found
Lil Spryte,meme rap
Oliver Francis,"cloud rap, emo rap, melodic rap"
Samsin,future bass
Bishop Nehru,"alternative hip hop, underground hip hop"
Maximum Love,No genres found
Sasha Rome,No genres found
Ishi,No genres found
Clayjay,No genres found
Vansire,"bedroom pop, rochester mn indie"
Potatohead People,"bass trip, indie jazz, indie soul, neo r&b, vancouver indie"
Baker Ya Maker,"dark trap, phonk"
PawPaw Rod,indie r&b
FROMTHEHEART,No genres found
maxime.,ottawa indie
Losi,"future bass, sunset lounge"
Unusual Demont,"indie r&b, modern alternative pop"
Space Jesus,"brostep, electronic trap, glitch hop"
Naomi Wild,indie electropop
Rvdical the Kid,"african electronic, ghanaian alternative"
GEOTHEORY,"future bass, vapor twitch"
Sauce Walka,"houston rap, memphis hip hop, trap"
The Alchemist,"alternative hip hop, drumless hip hop, hip hop, instrumental hip hop, west coast rap"
Burgettii,"lo-fi chill, sad lo-fi"
ICYTWAT,"cloud rap, dark plugg, underground hip hop"
The Teeta,austin hip hop
Larry League,No genres found
GlimmerXP,phonk
Nocturnal,uk experimental electronic
GaÃ«l,No genres found
Flyboy Tarantino,No genres found
MadBliss,No genres found
LESANE,No genres found
lilbootycall,san antonio rap
Ayo River,No genres found
Grady,indie electropop
Fuller,No genres found
Recess Radio,No genres found
Bonsai Trees,connecticut indie
COIN,pov: indie
Phoneboy,No genres found
Shoobies,new jersey indie
The Color and Sound,boston indie
Neck Deep,"pop punk, uk pop punk"
glaive,"glitchcore, hyperpop, proto-hyperpop"
Real Friends,"alternative emo, anthem emo, chicago pop punk, easycore, emo, neon pop punk, pixie, pop punk"
Chon,"instrumental math rock, instrumental rock, progressive jazz fusion, san diego indie"
Choir Vandals,stl indie
Machinedrum,"footwork, future garage, glitch, glitch hop, halftime dnb, intelligent dance music, minimal dnb, wonky"
Eric Bellinger,"pop r&b, r&b"
Adrian Marcel,pop r&b
Fredo Santana,"chicago drill, chicago rap, drill, plugg, trap"
Rihanna,No genres found
Dominic Fike,"alternative pop rock, pov: indie"
$NOT,"indietronica, metropopolis, nu disco, shimmer pop"
electroboomin,No genres found
SLIGHT,"phonk, wave"
Jetson,phonk
Weaver Beats,phonk
Bat Boy Bankie,No genres found
BIGBABYGUCCI,"indie hip hop, north carolina hip hop, plugg, rage rap"
Healy,memphis hip hop
JOYRYDE,"bass house, brostep, edm, electro house, electronic trap"
Dot Demo,indie hip hop
glbl wrmng,No genres found
Eagle Eyed Tiger,chillsynth
Malibu Ken,abstract hip hop
Tom The Mail Man,modern indie pop
Deko,No genres found
Swan Lingo,No genres found
Matt Gantos,No genres found
Carnage,"dutch house, edm, electro house, electronic trap, viral trap"
Joyner Lucas,"boston hip hop, hip hop, pop rap, rap"
RVFVEL,chill phonk
Hucci,electronic trap
Keys N Krates,"brostep, edm, electro house, electronic trap, livetronica"
Ghostemane,"cloud rap, dark trap, florida rap"
Unknown Mortal Orchestra,"art pop, indie rock, indie soul, indietronica, kiwi rock, neo-psychedelic, portland hip hop, psychedelic pop"
The Symposium,"chicago indie, indie garage rock"
The Red Pears,indie garage rock
Jane Archer and the Reactionaries,epunk
Gareth Emery,"edm, pop dance, progressive electro house, progressive house, trance"
Morgan Page,"edm, electro house, pop dance, progressive house"
Whitney Houston,"dance pop, pop"
Paula Abdul,"dance pop, new wave pop, soft rock"
Death Grips,"escape room, experimental hip hop, industrial hip hop"
El Alfa,"dembow, rap dominicano, trap latino, urbano latino"
Jason Ross,"dubstep, melodic dubstep, pop edm, progressive house, progressive trance"
Deadline,"dancefloor dnb, uk dnb"
Kanine,"bass house, uk dnb"
Jamezy,No genres found
Bru-C,"bassline, charva, nottingham hip hop"
Grafix,"drum and bass, uk dnb"
Fred V,"drum and bass, liquid funk"
Monrroe,"liquid funk, uk dnb"
K Motionz,No genres found
Hugh Hardie,liquid funk
goddard.,No genres found
Netsky,"belgian edm, dancefloor dnb, drum and bass"
High Contrast,"drum and bass, uk dance, uk dnb"
Lee Mvtthews,"nz dnb, nz pop"
Rameses B,"chillstep, melodic dubstep"
Sub Focus,"dancefloor dnb, drum and bass, uk dance"
Death Cab for Cutie,"alternative rock, chamber pop, indie rock, indietronica, modern alternative rock, modern rock, seattle indie, washington indie"
Beamon,"dark trap, emo rap"
AR,No genres found
Cardboard Box,No genres found
Malik Elijah,No genres found
RL Grime,"brostep, edm, electro house, electronic trap"
Derek Pope,No genres found
Spence Lee,"asian american hip hop, new jersey rap"
$ilkMoney,drumless hip hop
Orrin,afrofuturism
